feature,mean_abs_shap
high_risk_country,4.3174596
amt_sum_1h,0.7020067
amt_zscore,0.62345994
country_mismatch,0.5069115
amt_sum_6h,0.45778632
amt_avg_7d,0.45204827
amt_vs_avg_ratio,0.3838323
hour_of_day,0.32847917
amt_sum_24h,0.31998056
merchant_fraud_rate,0.29581308
days_since_first_tx,0.23907155
log_amount,0.18543966
day_of_week,0.16364399
unique_merchants_7d,0.14241768
tx_count_1h,0.10527952
device_change_flag,0.0474564
is_business_hours,0.045282185
tx_count_6h,0.028494421
is_new_user,0.028298251
is_night,0.015439813
tx_count_24h,0.013805586
is_weekend,0.013738779
tx_count_7d,0.0013024416
is_high_value,0.00031036648
is_round_amount,0.0
